track_title,valence,tempo,danceability,energy,speechiness
"Flawless Remix",0.457,136.801,0.639,0.659,0.215
Starboy,0.535,186.054,0.681,0.594,0.282
Better,0.681,79.837,0.525,0.77,0.29
"Side To Side",0.603,159.145,0.648,0.738,0.247
"In the Name of Love",0.196,133.889,0.49,0.485,0.0406
"The Greatest",0.686,191.95,0.639,0.785,0.174
"Say You Won't Let Go",0.494,85.043,0.358,0.557,0.059
"Sexy And I Know It",0.507,116.954,0.713,0.26,0.0473
"Don't Wanna Know (feat. Kendrick Lamar)",0.485,100.048,0.775,0.617,0.0701
"Fresh Eyes",0.861,122.047,0.822,0.544,0.0332
Controlla,0.347,122.976,0.607,0.476,0.249
Alarm,0.811,146.928,0.756,0.589,0.232
"Let Me Hold You (Turn Me On)",0.331,102.949,0.68,0.774,0.0697
"Thinkin Bout You",0.178,129.842,0.716,0.35,0.0537
"Love On Top",0.652,94.1,0.652,0.748,0.0887
"Hurts So Good",0.417,120.141,0.681,0.594,0.0486
"Perfect Strangers",0.699,117.99,0.739,0.833,0.0463
Sexual,0.809,107.986,0.803,0.569,0.0739
"in my miNd",0.786,102.061,0.768,0.632,0.0254
"Trust Nobody (feat. Selena Gomez & Tory Lanez)",0.784,156.104,0.42,0.636,0.22
Mercy,0.374,147.734,0.469,0.68,0.117
"Still Falling For You - From ""Bridget Jones's Baby""",0.19,96.058,0.512,0.531,0.0418
"The Mack",0.541,106.031,0.707,0.883,0.0602
"Body Say",0.217,86.993,0.63,0.735,0.037
"Nervous (The Ooh Song) - Mark McCabe Remix",0.374,103.85,0.432,0.874,0.0462
"Body Moves",0.856,102.033,0.655,0.699,0.0385
"All Night",0.448,145.017,0.544,0.809,0.0363
"Sit Still, Look Pretty",0.554,181.799,0.655,0.787,0.264
"Ain't My Fault",0.355,141.153,0.576,0.782,0.0296
"Let Me Love You",0.142,199.864,0.476,0.718,0.0576
"Cool Girl",0.233,102.022,0.671,0.71,0.109
"If I Were a Boy",0.487,89.946,0.63,0.504,0.0334
Monsters,0.52,176.316,0.441,0.766,0.171
"Please Don't Go",0.235,84.264,0.513,0.768,0.0587
"Love Me Now",0.709,123.889,0.488,0.762,0.0865
"Habits Of My Heart",0.59,72.048,0.392,0.498,0.117
"Make Me (Cry)",0.209,152.881,0.588,0.471,0.0577
"Stone Cold",0.327,139.321,0.412,0.472,0.0476
"Bed Of Lies",0.124,86.01,0.715,0.67,0.194
Fire,0.289,89.807,0.386,0.714,0.381
"Castle on the Hill",0.471,135.007,0.461,0.834,0.0989
"If I Ain't Got You",0.166,118.393,0.609,0.445,0.106
"Signed, Sealed, Delivered (I'm Yours)",0.807,108.826,0.67,0.619,0.0323
Sugar,0.884,120.076,0.748,0.788,0.0334
"I'm Not The Only One",0.501,80.994,0.453,0.496,0.0453
"Rich Girl",0.817,169.519,0.573,0.683,0.176
"Teenage Dream",0.591,120.011,0.719,0.798,0.0361
"Somebody To Love - Remastered 2011",0.353,110.915,0.461,0.69,0.0611
"Wrecking Ball",0.349,119.964,0.53,0.422,0.0342
"Someone Like You",0.285,135.109,0.559,0.33,0.0285
"Want to Want Me",0.656,114.025,0.775,0.68,0.0629
"Ain't No Mountain High Enough",0.818,130.037,0.669,0.616,0.033
"What Makes You Beautiful",0.873,125.011,0.729,0.771,0.0725
Trumpets,0.64,81.897,0.627,0.703,0.236
"What If",0.538,82.517,0.429,0.757,0.0306
"Tennessee Whiskey",0.512,48.718,0.392,0.37,0.0298
Parachute,0.605,113.038,0.642,0.762,0.0296
"Fire Away",0.177,116.123,0.559,0.301,0.0297
"Next To You",0.349,114.974,0.67,0.676,0.037
"I Want It That Way",0.482,99.039,0.689,0.694,0.027
"Burn - Confession Special Edition Version",0.685,119.928,0.796,0.477,0.108
Fantasy,0.801,102.358,0.671,0.727,0.035
"As Long as You Love Me",0.753,98.219,0.775,0.816,0.0281
Gone,0.5,113.922,0.699,0.403,0.0614
Incomplete,0.165,133.631,0.437,0.589,0.0331
"I'm with You",0.208,151.95,0.457,0.406,0.0291
"Brown Eyed Girl",0.907,150.572,0.491,0.583,0.0376
"Love Yourself",0.515,100.418,0.609,0.378,0.438
"Life Is Worth Living",0.463,76.04,0.558,0.296,0.0427
Speakers,0.331,75.092,0.596,0.462,0.0409
"Make You Miss Me",0.197,146.052,0.606,0.476,0.032
"Titanium (feat. Sia) - feat. Sia",0.265,126.06,0.602,0.796,0.103
"Without You (feat. Usher) - feat. Usher",0.402,127.884,0.608,0.614,0.0285
"What Hurts The Most",0.33,136.002,0.537,0.674,0.0277
Pieces,0.335,171.546,0.427,0.846,0.0614
"Blue Ain't Your Color",0.479,82.45,0.69,0.416,0.0335
"Good Thing",0.547,101.975,0.654,0.825,0.0429
"Sweet Thing",0.643,102.993,0.63,0.888,0.0468
"I Told You So",0.725,105.988,0.617,0.885,0.0303
Everybody,0.183,188.33,0.395,0.511,0.0312
"Days Go By",0.76,131.951,0.589,0.892,0.0365
"Somebody Like You",0.639,111.022,0.622,0.854,0.0337
"You'll Think Of Me",0.429,82.916,0.593,0.491,0.0365
"Wanna Be That Song",0.334,144.065,0.518,0.686,0.0313
"Do You Remember",0.104,142.135,0.505,0.533,0.0297
"Mine Would Be You",0.321,139.876,0.572,0.529,0.0282
"She Wouldn't Be Gone",0.211,159.918,0.51,0.683,0.0302
"A Little More Summertime",0.451,167.665,0.482,0.823,0.0661
"Night Train",0.502,158.121,0.496,0.708,0.0293
"Tattoos on This Town",0.444,78.494,0.359,0.784,0.0438
"Don't You Wanna Stay",0.13,143.75,0.45,0.634,0.0308
"Fly Over States",0.184,81.587,0.487,0.736,0.0326
Fast,0.361,132.092,0.539,0.67,0.0321
"The Truth",0.346,143.031,0.485,0.585,0.0259
"Big Green Tractor",0.58,137.077,0.616,0.596,0.0289
Hicktown,0.802,121.543,0.697,0.878,0.0351
"Amarillo Sky",0.428,154.988,0.491,0.776,0.0393
Why,0.218,135.926,0.568,0.695,0.0294
"Sober Saturday Night (feat. Vince Gill)",0.263,139.864,0.477,0.672,0.0306
"I'm Comin' Over",0.376,127.997,0.575,0.845,0.035
"Lonely Eyes",0.336,106.005,0.657,0.674,0.0319
Goodbye,0.354,143.834,0.504,0.625,0.0346
"Who I Am With You",0.47,150.309,0.466,0.702,0.032
Tomorrow,0.349,141.733,0.441,0.644,0.0363
"Gettin' You Home",0.531,106.966,0.639,0.678,0.0278
Wanted,0.3,169.784,0.421,0.476,0.0298
"Somebody's Heartbreak",0.645,149.974,0.595,0.623,0.0314
"I Want Crazy - Encore",0.558,103.029,0.562,0.878,0.0387
"Boot Scootin' Boogie",0.862,130.446,0.656,0.817,0.0435
"Better Man",0.501,143.888,0.514,0.836,0.0381
"Loving You Easy",0.326,98.982,0.722,0.593,0.0269
Up,0.552,125.977,0.71,0.712,0.0383
"Crushin' It",0.745,108.99,0.595,0.823,0.0483
"Don't Ya",0.581,176.004,0.537,0.693,0.0847
"Show You Off",0.779,166.054,0.543,0.851,0.0381
"Hell Of A Night",0.591,85.054,0.499,0.797,0.0402
"All Over The Road",0.721,199.851,0.491,0.841,0.0421
"Young & Crazy",0.783,115.05,0.61,0.876,0.0394
"Why Don't We Just Dance",0.642,121.834,0.677,0.776,0.0386
"Time Is Love",0.616,111.986,0.655,0.826,0.0433
Summertime,0.713,167.986,0.48,0.928,0.0899
"Somethin' 'Bout A Truck",0.79,176.01,0.554,0.794,0.035
Downtown,0.961,169.926,0.534,0.823,0.0496
"American Honey",0.121,85.997,0.588,0.684,0.0288
"Day Drinking",0.832,163.903,0.594,0.962,0.065
"Play It Again",0.596,144.056,0.51,0.898,0.0696
"Wagon Wheel",0.634,145.525,0.621,0.403,0.0359
"Take A Back Road",0.918,169.902,0.581,0.856,0.0783
"Make Me Wanna",0.679,109.019,0.545,0.818,0.0541
"Someone New",0.577,91.98,0.593,0.539,0.0349
21,0.943,160.096,0.501,0.9,0.0433
"The Sound Of Sunshine",0.703,96.998,0.672,0.905,0.0679
"Shake It",0.834,102.06,0.724,0.938,0.201
Toes,0.821,129.979,0.8,0.759,0.0378
"Island Song",0.892,145.892,0.845,0.701,0.0504
Diamonds,0.497,121.865,0.577,0.82,0.0488
Smoke,0.394,150.013,0.429,0.784,0.0296
"Still Into You",0.765,136.01,0.602,0.923,0.044
"I Don't Want to Be",0.463,154.451,0.435,0.887,0.0846
"I Like It Like That",0.65,101.002,0.742,0.784,0.0552
"Cheerleader - Felix Jaehn Remix Radio Edit",0.603,118.016,0.782,0.685,0.0309
"Locked Away",0.55,118.413,0.509,0.671,0.0678
"A Guy Walks into a Bar",0.431,147.986,0.428,0.78,0.0373
Homegrown,0.942,105.017,0.717,0.796,0.0303
"One Day",0.621,93.974,0.669,0.642,0.046
"Kiss Me Slowly",0.379,173.99,0.486,0.779,0.0334
"If It Means a Lot to You",0.44,126.996,0.584,0.536,0.0279
"Watch Me (Whip / Nae Nae)",0.964,139.982,0.819,0.768,0.134
"Trap Queen",0.817,148.075,0.746,0.873,0.128
"Fight Song",0.33,175.924,0.564,0.714,0.129
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.525,85.979,0.596,0.73,0.151
Photograph,0.201,107.989,0.614,0.379,0.0476
"Post To Be (feat. Chris Brown & Jhene Aiko)",0.701,97.448,0.733,0.676,0.0432
"Flex (Ooh, Ooh, Ooh)",0.883,163.993,0.676,0.615,0.0496
"Talking Body",0.114,119.999,0.736,0.761,0.0338
"Nasty Freestyle",0.412,135.051,0.779,0.472,0.218
"Corona And Lime",0.883,100.005,0.863,0.755,0.0904
"Whiskey in My Water",0.583,153.929,0.526,0.872,0.0428
Wing$,0.0964,74.142,0.4,0.602,0.197
"Holding On To You",0.814,89.996,0.608,0.776,0.0511
"House Of Gold",0.851,114.948,0.68,0.693,0.0435
"Should’ve Been Us",0.467,89.974,0.65,0.766,0.119
"Home To Mama",0.492,90.004,0.716,0.302,0.0683
"Brand New",0.412,144.884,0.553,0.936,0.11
Fall,0.591,82.763,0.566,0.771,0.0535
"Like I'm Gonna Lose You",0.417,108.038,0.63,0.53,0.0434
Beautiful,0.237,104.963,0.611,0.557,0.0301
"One Call Away",0.47,91.024,0.667,0.613,0.0344
"I Was Made For Loving You",0.216,106.415,0.374,0.344,0.0304
"Tear In My Heart",0.447,120.113,0.655,0.632,0.0489
"7 Years",0.346,119.951,0.742,0.479,0.0551
"Cold Water (feat. Justin Bieber & MØ)",0.501,92.943,0.608,0.798,0.0432
"All We Ever Knew",0.546,102.03,0.487,0.724,0.0289
"Fire Escape",0.45,106.04,0.582,0.856,0.0646
"Don't Threaten Me With A Good Time",0.59,183.825,0.559,0.895,0.0832
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",0.551,94.505,0.553,0.652,0.206
Waves,0.506,159.962,0.545,0.663,0.0548
Masterpiece,0.573,143.864,0.657,0.737,0.0446
"i hate u, i love u (feat. olivia o'brien)",0.18,92.6,0.492,0.275,0.3
"HAPPINESS - Acoustic",0.327,97.996,0.65,0.454,0.0287
"Sleep On The Floor",0.272,141.251,0.387,0.441,0.0335
"This Town",0.202,111.833,0.678,0.398,0.0315
"Body Like A Back Road",0.631,98.963,0.731,0.469,0.0326
Unsteady,0.199,117.055,0.389,0.665,0.0644
"Something Just Like This",0.446,103.019,0.617,0.635,0.0317
Trouble,0.56,94.92,0.744,0.595,0.0782
"Anywhere With You",0.598,151.988,0.475,0.936,0.0413
"The One That Got Away",0.535,119.913,0.576,0.865,0.0407
"Boys 'Round Here (feat. Pistol Annies & Friends)",0.649,169.895,0.611,0.688,0.0529
"Sure Be Cool If You Did",0.582,136.802,0.576,0.726,0.035
"Chicken Fried",0.807,169.864,0.566,0.713,0.0417
Strong,0.347,73.985,0.609,0.396,0.0338
"Kick It In The Sticks",0.523,158.028,0.493,0.843,0.0707
"Round Here",0.901,141.982,0.523,0.954,0.0374
"Safe & Sound - from The Hunger Games Soundtrack",0.289,144.317,0.472,0.3,0.028
Crazier,0.158,133.042,0.452,0.544,0.0277
"I'm an Albatraoz",0.595,128.078,0.883,0.817,0.235
"One Last Time",0.122,125.036,0.624,0.618,0.0322
"The Heart Wants What It Wants",0.628,83.048,0.619,0.786,0.0397
"If I Die Young",0.324,130.675,0.59,0.5,0.0277
"Take Me To Church",0.437,128.945,0.566,0.664,0.0464
"Mama's Broken Heart",0.748,111.989,0.768,0.809,0.0616
Troublemaker,0.967,106.009,0.761,0.856,0.0731
Magic,0.514,104.063,0.614,0.919,0.0413
"Me And You",0.685,92.019,0.62,0.887,0.0489
Hey,0.366,171.756,0.551,0.716,0.0994
Happy,0.436,78.427,0.602,0.265,0.0987
"Me And My Broken Heart",0.52,163.565,0.413,0.491,0.0292
"Man! I Feel Like A Woman!",0.757,124.944,0.678,0.899,0.048
"Before He Cheats",0.29,147.905,0.519,0.749,0.0405
Chains,0.13,151.88,0.534,0.606,0.0452
1985,0.903,119.974,0.606,0.887,0.0598
"100 Years",0.288,120.487,0.636,0.559,0.0274
"Bad Day",0.52,140.046,0.599,0.785,0.0309
"Move Along",0.628,109.847,0.529,0.922,0.0459
"Hollaback Girl",0.882,110.024,0.918,0.918,0.0954
"The Middle",0.93,161.944,0.629,0.897,0.0483
"The Anthem",0.881,177.754,0.495,0.938,0.124
"Holiday/Boulevard Of Broken Dreams",0.45,167.086,0.29,0.827,0.0362
"Girlfriend (German Version - Explicit) - German Version - Explicit",0.7,164.057,0.559,0.963,0.0817
"It Ends Tonight",0.341,175.845,0.335,0.676,0.0301
"Over My Head (Cable Car)",0.709,116.03,0.592,0.729,0.0448
"My Own Worst Enemy",0.741,103.408,0.494,0.946,0.0637
"I'm Just A Kid",0.422,110.065,0.527,0.834,0.0447
"Basket Case",0.781,85.064,0.442,0.943,0.0602
"Nine In The Afternoon - Radio Mix",0.397,155.189,0.405,0.689,0.0365
Complicated,0.427,77.987,0.585,0.776,0.0459
"Somebody Told Me",0.767,138.005,0.5,0.975,0.0824
"DONTTRUSTME - Explicit Album Version",0.514,130.012,0.791,0.713,0.254
"How Far We've Come",0.807,83.012,0.578,0.859,0.0527
"Island In The Sun",0.661,114.623,0.654,0.81,0.0288
"Hanging By A Moment",0.424,124.578,0.531,0.855,0.0352
"The Reason",0.075,82.957,0.474,0.659,0.0292
"Lips Of An Angel",0.287,129.051,0.476,0.769,0.0332
"Say It Ain't So",0.459,76.098,0.635,0.435,0.031
"You And Me",0.375,139.868,0.461,0.446,0.0267
"Chasing Cars",0.136,104.016,0.563,0.592,0.0276
"Wherever You Will Go",0.371,112.027,0.558,0.719,0.0267
"Superman (It's Not Easy)",0.176,106.547,0.523,0.464,0.0288
Collide,0.342,93.931,0.636,0.625,0.0277
Breakeven,0.529,94.023,0.63,0.698,0.0244
"You're Beautiful",0.423,81.997,0.674,0.547,0.0276
"The Scientist",0.212,146.448,0.56,0.442,0.0243
"Juke Box Hero",0.522,176.647,0.357,0.653,0.0654
"Cold As Ice - Single / LP Version",0.471,132.542,0.516,0.486,0.0272
"Hotel California - Remastered",0.609,147.125,0.579,0.508,0.027
"Paradise City",0.475,100.269,0.273,0.952,0.0841
"Dream On",0.224,160.9,0.307,0.433,0.029
"American Pie",0.491,138.45,0.531,0.481,0.06
"For the First Time",0.382,174.022,0.393,0.633,0.0275
"Chop Suey!",0.3,127.204,0.42,0.929,0.121
"Last Resort",0.724,90.578,0.581,0.887,0.0624
Uprising,0.411,128.019,0.602,0.905,0.0775
Numb,0.243,110.018,0.496,0.863,0.0381
Toxicity,0.521,116.335,0.407,0.876,0.0529
"How You Remind Me - LP Mix",0.543,172.094,0.446,0.764,0.033
"Soul On Fire (feat. All Sons & Daughters)",0.228,103.974,0.501,0.876,0.0545
"My Lighthouse",0.727,110.008,0.545,0.805,0.0491
"Bang Bang",0.752,164.687,0.583,0.436,0.0866
"When Doves Cry",0.464,102.412,0.804,0.534,0.0323
"Burnin' It Down",0.653,135.943,0.68,0.788,0.0466
"Dirt Road Anthem",0.635,127.024,0.68,0.741,0.0357
"When She Says Baby",0.807,113.063,0.673,0.76,0.0361
"The Only Way I Know (with Luke Bryan and Eric Church)",0.607,183.303,0.511,0.798,0.0498
"Take A Little Ride",0.775,163.867,0.472,0.866,0.0413
"White Liar",0.419,185.04,0.35,0.777,0.0336
"Neon Light",0.923,154.056,0.666,0.78,0.048
"Doin' What She Likes",0.832,152.011,0.581,0.767,0.0406
"Need You Now",0.231,107.943,0.587,0.622,0.0303
"Kiss Tomorrow Goodbye",0.584,115.013,0.571,0.937,0.0365
Yeah,0.572,165.713,0.414,0.843,0.0531
Tired,0.147,109.644,0.309,0.639,0.0552
"Thank You",0.46,104.683,0.361,0.598,0.0557
Hosanna,0.269,122.033,0.691,0.967,0.153
Somebody,0.726,104.972,0.845,0.534,0.0385
"Get The Party Started",0.961,128.943,0.806,0.902,0.0475
Fancy,0.377,94.981,0.912,0.716,0.0697
"TiK ToK",0.735,120.032,0.755,0.832,0.116
"Break Free",0.289,129.943,0.68,0.692,0.0463
"It's Tricky",0.961,127.872,0.956,0.72,0.137
"Don't Stop The Music",0.54,122.683,0.844,0.659,0.0626
"I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version]",0.824,125.916,0.711,0.906,0.0284
Games,0.887,158.04,0.508,0.883,0.0967
"Take Your Time",0.473,157.998,0.553,0.723,0.0453
"Sunshine & Whiskey",0.754,92.983,0.67,0.737,0.0434
"Country Must Be Country Wide",0.5,83.093,0.409,0.765,0.0412
"Knee Deep (feat. Jimmy Buffett)",0.61,90.987,0.715,0.584,0.0296
"Farmer's Daughter",0.786,133.977,0.612,0.791,0.0291
"Made In America",0.356,172.107,0.497,0.726,0.0303
"Truck Yeah",0.763,97.965,0.614,0.92,0.0326
"She Get Me High",0.816,173.975,0.555,0.785,0.0387
"Rain Is a Good Thing",0.519,108.051,0.622,0.932,0.0498
"Jar of Hearts",0.0886,74.541,0.349,0.348,0.0316
"Adore You",0.201,119.759,0.583,0.655,0.0315
"When I Look At You",0.194,137.941,0.459,0.545,0.0282
"The Climb",0.299,161.01,0.336,0.602,0.0325
"Do My Thang",0.314,131.983,0.76,0.575,0.0444
Bartender,0.656,101.01,0.626,0.936,0.036
Midnight,0.0349,126.976,0.548,0.475,0.0355
Sail,0.243,119.038,0.825,0.435,0.0568
Demons,0.416,179.561,0.327,0.71,0.0547
"A Drop In The Ocean",0.564,73.139,0.447,0.393,0.038
arms,0.252,145.319,0.463,0.755,0.0634
"I Try",0.736,76.403,0.593,0.642,0.0299
"November Rain",0.221,79.495,0.197,0.629,0.03
"It's Beginning To Look A Lot Like Christmas",0.553,136.791,0.423,0.301,0.0391
"White Christmas",0.247,130.503,0.317,0.158,0.0381
"Winter Wonderland",0.503,125.526,0.648,0.228,0.0454
"The Christmas Song (Merry Christmas To You)",0.188,72.76,0.31,0.095,0.0366
"Santa Baby",0.49,84.487,0.7,0.138,0.0612
"Last Christmas",0.947,107.682,0.735,0.478,0.0293
"All I Want for Christmas Is You",0.346,150.277,0.335,0.625,0.0386
"Let It Snow! Let It Snow! Let It Snow!",0.844,143.104,0.603,0.321,0.0599
"Little Saint Nick",0.971,130.594,0.602,0.553,0.0328
"It's Beginning to Look a Lot Like Christmas",0.481,110.559,0.636,0.409,0.0398
"Santa Claus Is Coming To Town",0.96,147.472,0.685,0.565,0.0374
Rolex,0.789,144.946,0.804,0.886,0.04
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",0.782,98.064,0.696,0.817,0.109
"Bad and Boujee (feat. Lil Uzi Vert)",0.175,127.076,0.927,0.665,0.244
"Really Really",0.278,118.97,0.762,0.666,0.0916
"Bounce Back",0.26,81.477,0.77,0.567,0.175
Caroline,0.707,120.041,0.941,0.335,0.505
"The Motto",0.39,201.8,0.766,0.442,0.356
"Swimming Pools (Drank)",0.189,74.236,0.577,0.447,0.277
"My Nigga",0.751,171.127,0.681,0.462,0.194
"Gas Pedal",0.461,97.524,0.846,0.53,0.0578
23,0.326,140.02,0.863,0.609,0.0564
"Dance (A$$) Remix",0.739,159.825,0.787,0.73,0.35
"Be Real",0.386,99.934,0.762,0.611,0.0876
"Get Low - Street",0.152,101.045,0.763,0.627,0.037
"Down On Me",0.594,160.041,0.7,0.598,0.114
"Who Gon Stop Me",0.367,133.855,0.602,0.731,0.205
Congratulations,0.492,123.146,0.63,0.804,0.0363
"Donald Trump",0.797,162.974,0.632,0.898,0.119
Lolly,0.827,152.221,0.661,0.88,0.296
"Look At Me Now",0.538,146.155,0.767,0.677,0.184
"In Da Club",0.777,90.051,0.899,0.713,0.366
"Sexy Can I feat. Yung Berg",0.926,172.155,0.575,0.684,0.325
Dope,0.352,95.005,0.803,0.524,0.291
"Bitch Better Have My Money",0.395,102.99,0.781,0.728,0.0621
"Body Language",0.256,99.015,0.882,0.53,0.0379
"Salt Shaker",0.336,101.97,0.886,0.673,0.109
"The Real Slim Shady",0.76,104.504,0.95,0.665,0.061
"Gasolina Budda Remix - Remix",0.629,96.034,0.72,0.823,0.191
"Walk It Out",0.706,160.022,0.794,0.777,0.0813
"Party Up",0.478,202.058,0.534,0.933,0.366
"Shake That",0.547,107.006,0.964,0.642,0.109
"How We Do",0.637,98.012,0.862,0.648,0.251
"Suga Suga",0.535,82.331,0.662,0.748,0.268
"In My Room (feat. Ty Dolla $ign & Tyga)",0.814,104.015,0.745,0.869,0.0444
"Make It Rain",0.767,149.28,0.744,0.697,0.197
"Throw It Up",0.131,146.001,0.697,0.594,0.0928
"X Gon' Give It To Ya",0.641,95.058,0.769,0.899,0.165
"California Love - Original Version",0.76,91.532,0.769,0.852,0.0438
"Let Me Blow Ya Mind",0.887,90.031,0.905,0.559,0.11
"Right Now (Na Na Na)",0.568,137.968,0.816,0.851,0.19
"Country Grammar (Hot Shit)",0.527,162.781,0.872,0.673,0.108
"Hey Ma",0.953,90.344,0.797,0.677,0.343
"Still D.R.E.",0.544,93.43,0.814,0.779,0.235
"Hypnotize - 2014 Remastered Version",0.67,93.941,0.901,0.697,0.28
"Express Yourself",0.951,95.052,0.845,0.584,0.304
"Straight Outta Compton",0.414,102.866,0.833,0.874,0.155
"Purple Lamborghini (with Rick Ross)",0.298,147.268,0.457,0.899,0.132
"Hustlin'",0.666,135.995,0.505,0.657,0.288
"Where The Hood At",0.779,185.967,0.536,0.946,0.36
"'Till I Collapse",0.1,171.411,0.551,0.851,0.197
"Caribou Lou",0.559,178.119,0.784,0.815,0.298
P.I.M.P.,0.85,84.607,0.673,0.785,0.351
"Move Bitch",0.161,177.82,0.782,0.76,0.127
"Fuck Tha Police",0.851,98.647,0.865,0.751,0.304
"Can't Be Touched (feat. Mr. Magic & Trouble)",0.413,96.986,0.642,0.777,0.094
"Dirt Off Your Shoulder",0.667,163.908,0.765,0.646,0.339
"99 Problems",0.461,92.318,0.499,0.88,0.395
"We Own It (Fast & Furious)",0.552,172.042,0.548,0.903,0.409
"Smack That - Dirty",0.911,118.994,0.937,0.738,0.0478
"Don't Matter",0.355,125.249,0.79,0.457,0.0414
"F**kin' Problems",0.66,95.967,0.852,0.693,0.274
"Wild for the Night",0.681,140.001,0.759,0.849,0.335
"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",0.724,88.494,0.733,0.777,0.0791
"Get Like Me",0.736,117.613,0.935,0.747,0.391
"March Madness",0.335,180.206,0.406,0.661,0.311
"All The Way Up",0.409,175.158,0.414,0.807,0.348
Juicy,0.598,97.434,0.902,0.756,0.28
"I Don't Like (Remix)",0.604,132.026,0.486,0.564,0.303
"No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version",0.361,131.497,0.76,0.595,0.0391
"Strange Clouds (feat. Lil Wayne) - feat. Lil Wayne",0.8,73.726,0.531,0.665,0.286
Unforgettable,0.733,97.985,0.726,0.769,0.123
"Green Onions - Single/LP Version",0.912,136.837,0.816,0.514,0.0339
"Superstition - Single Version",0.883,100.541,0.65,0.658,0.085
"Higher Ground",0.821,125.474,0.716,0.85,0.0426
"She's Country",0.657,172.196,0.554,0.872,0.0897
"Keep Me In Mind",0.563,96.018,0.684,0.715,0.0336
"Jump Right In",0.655,104.022,0.697,0.82,0.0575
"Sweet Annie",0.171,139.976,0.635,0.434,0.0298
"Highway 20 Ride",0.428,76.105,0.55,0.402,0.0339
"Somethin' Bad - (Duet with Carrie Underwood)",0.484,90.076,0.68,0.888,0.055
"Gunpowder & Lead",0.353,187.826,0.333,0.907,0.0959
"The House That Built Me",0.206,81.12,0.515,0.3,0.0289
"Smoke Break",0.55,160.16,0.453,0.839,0.0511
"Undo It",0.648,156.254,0.476,0.84,0.058
"Save It for a Rainy Day",0.614,154.889,0.538,0.775,0.0291
"Somewhere With You",0.536,111.969,0.68,0.849,0.0376
"American Kids",0.867,170.097,0.733,0.589,0.1
"Come Over",0.481,176.043,0.466,0.704,0.0353
"You and Tequila",0.35,135.839,0.691,0.454,0.0256
"Pirate Flag",0.576,160.128,0.577,0.805,0.0509
"Top Of The World",0.943,141.217,0.675,0.791,0.0383
"Shotgun Rider",0.69,167.847,0.458,0.903,0.0493
"Highway Don't Care",0.495,158.061,0.47,0.79,0.039
"Humble And Kind",0.137,100.956,0.355,0.48,0.0282
"Live Like You Were Dying",0.418,159.929,0.416,0.546,0.0297
"Don't Take The Girl",0.354,204.263,0.439,0.454,0.0308
"Something Like That",0.847,171.8,0.507,0.85,0.0472
"Felt Good On My Lips",0.519,136.001,0.56,0.869,0.0387
"Whiskey Lullaby",0.195,74.458,0.508,0.333,0.0305
"She's Everything",0.269,102.971,0.355,0.478,0.0335
"Remind Me",0.288,140.781,0.485,0.726,0.0327
"Mr. Misunderstood",0.546,129.22,0.385,0.808,0.045
Springsteen,0.927,104.023,0.692,0.809,0.0255
Talladega,0.556,144.0,0.584,0.672,0.0294
"Like A Wrecking Ball",0.613,135.954,0.691,0.336,0.0392
"John Cougar, John Deere, John 3:16",0.594,84.975,0.694,0.779,0.071
"Anything Goes",0.746,154.038,0.462,0.977,0.045
"Get Your Shine On",0.607,96.991,0.497,0.927,0.0371
"Here's To The Good Times",0.583,142.062,0.534,0.933,0.0437
"It'z Just What We Do",0.896,158.063,0.498,0.947,0.0421
"Tip It Back",0.848,163.953,0.45,0.948,0.0464
"Break Up In A Small Town",0.438,135.991,0.592,0.794,0.187
"Crash And Burn",0.795,130.025,0.693,0.789,0.0315
"Nothin' Like You",0.437,84.956,0.589,0.704,0.0303
"Die A Happy Man",0.381,83.096,0.66,0.383,0.0304
"In Color",0.251,129.518,0.544,0.404,0.0354
"Follow Me",0.916,105.014,0.817,0.585,0.0301
"I Feel Good",0.965,106.967,0.834,0.584,0.0366
"Hey Girl",0.636,163.957,0.469,0.684,0.0308
"Don't It",0.668,90.966,0.573,0.824,0.0373
"We Are Tonight",0.563,127.914,0.56,0.809,0.0358
"Good Directions",0.497,122.522,0.695,0.731,0.034
"People Are Crazy",0.455,141.941,0.658,0.713,0.0263
"Let Me Down Easy",0.163,125.029,0.61,0.497,0.027
"That's How Country Boys Roll",0.916,120.974,0.674,0.916,0.0332
"Pretty Good At Drinkin' Beer",0.618,106.978,0.775,0.689,0.0322
"I Like The Sound Of That",0.527,89.974,0.611,0.8,0.0377
Easy,0.425,120.998,0.343,0.594,0.0344
"Fast Cars And Freedom",0.634,117.955,0.617,0.8,0.0303
Rewind,0.719,164.049,0.549,0.698,0.0347
"Beer In Mexico",0.476,137.97,0.58,0.906,0.0405
"Wasted Time",0.341,100.004,0.625,0.825,0.0481
"Pickin' Wildflowers",0.667,152.089,0.561,0.716,0.0291
"It Don't Hurt Like It Used To",0.448,161.981,0.503,0.824,0.0524
"All My Friends Say",0.962,117.036,0.683,0.9,0.0333
"Ain't Worth The Whiskey",0.503,153.712,0.432,0.738,0.0309
